DataPackKey,DataPackCode,DataPackFilename,DataPackTabName,indicator,numeratorDenom,Modality,KeyPop,KnownNewStatus,NewExistingART,Indication,TBStatus,pregBF,VMMCTechnique,Age,AggregatedAge,AggregatedAgeFlag,Sex,HIVStatus,otherDisagg,IMPATT
GEND_GBV|N|||||||||<10|<15||Female||Physical and/or Emotional Violence|FALSE,gend_gbv_u10_f_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,<10,<15,,Female,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||<10|<15||Female||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_u10_f_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,<10,<15,,Female,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||<10|<15||Male||Physical and/or Emotional Violence|FALSE,gend_gbv_u10_m_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,<10,<15,,Male,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||<10|<15||Male||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_u10_m_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,<10,<15,,Male,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||||||||FALSE,D_gend_gbv_fy19,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,,,,,,,FALSE
GEND_GBV|N||||||||||||||PEP|FALSE,gend_gbv_pep,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,,,,,,PEP,FALSE
GEND_GBV|N||||||||||||||Physical and/or Emotional Violence|FALSE,gend_gbv_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,,,,,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N||||||||||||||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,,,,,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||10-14|<15||Female||Physical and/or Emotional Violence|FALSE,gend_gbv_1014_f_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,10-14,<15,,Female,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||10-14|<15||Female||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_1014_f_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,10-14,<15,,Female,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||10-14|<15||Male||Physical and/or Emotional Violence|FALSE,gend_gbv_1014_m_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,10-14,<15,,Male,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||10-14|<15||Male||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_1014_m_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,10-14,<15,,Male,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||15-19|15+||Female||Physical and/or Emotional Violence|FALSE,gend_gbv_1519_f_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,15-19,15+,,Female,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||15-19|15+||Female||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_1519_f_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,15-19,15+,,Female,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||15-19|15+||Male||Physical and/or Emotional Violence|FALSE,gend_gbv_1519_m_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,15-19,15+,,Male,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||15-19|15+||Male||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_1519_m_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,15-19,15+,,Male,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||20-24|15+||Female||Physical and/or Emotional Violence|FALSE,gend_gbv_2024_f_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,20-24,15+,,Female,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||20-24|15+||Female||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_2024_f_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,20-24,15+,,Female,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||20-24|15+||Male||Physical and/or Emotional Violence|FALSE,gend_gbv_2024_m_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,20-24,15+,,Male,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||20-24|15+||Male||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_2024_m_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,20-24,15+,,Male,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||25-29|15+||Female||Physical and/or Emotional Violence|FALSE,gend_gbv_2529_f_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,25-29,15+,,Female,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||25-29|15+||Female||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_2529_f_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,25-29,15+,,Female,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||25-29|15+||Male||Physical and/or Emotional Violence|FALSE,gend_gbv_2529_m_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,25-29,15+,,Male,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||25-29|15+||Male||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_2529_m_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,25-29,15+,,Male,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||30-34|15+||Female||Physical and/or Emotional Violence|FALSE,gend_gbv_3034_f_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,30-34,15+,,Female,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||30-34|15+||Female||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_3034_f_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,30-34,15+,,Female,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||30-34|15+||Male||Physical and/or Emotional Violence|FALSE,gend_gbv_3034_m_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,30-34,15+,,Male,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||30-34|15+||Male||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_3034_m_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,30-34,15+,,Male,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||35-39|15+||Female||Physical and/or Emotional Violence|FALSE,gend_gbv_3539_f_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,35-39,15+,,Female,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||35-39|15+||Female||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_3539_f_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,35-39,15+,,Female,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||35-39|15+||Male||Physical and/or Emotional Violence|FALSE,gend_gbv_3539_m_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,35-39,15+,,Male,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||35-39|15+||Male||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_3539_m_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,35-39,15+,,Male,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||40-49|15+||Female||Physical and/or Emotional Violence|FALSE,gend_gbv_4049_f_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,40-49,15+,,Female,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||40-49|15+||Female||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_4049_f_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,40-49,15+,,Female,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||40-49|15+||Male||Physical and/or Emotional Violence|FALSE,gend_gbv_4049_m_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,40-49,15+,,Male,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||40-49|15+||Male||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_4049_m_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,40-49,15+,,Male,,Sexual Violence (Post-Rape Care),FALSE
