"COPidName","pd_2019_P","DataPackCode","DataPackFilename","DataPackTabName","indicator","numeratorDenom","Modality","KeyPop","KnownNewStatus","NewExistingART","Indication","TBStatus","pregBF","VMMCTechnique","Age","AggregatedAge","AggregatedAgeFlag","Sex","HIVStatus","otherDisagg","IMPATT"
"GEND_GBV|N|DSD|||||||||<10|<15||Female||Physical and/or Emotional Violence","ajV9fIG2L0S.wt4A4IVhK44","gend_gbv_u10_f_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","<10","<15","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||<10|<15||Female||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.QdyvOZhmwfP","gend_gbv_u10_f_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","<10","<15","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||<10|<15||Male||Physical and/or Emotional Violence","ajV9fIG2L0S.ClVqXFbwu7z","gend_gbv_u10_m_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","<10","<15","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||<10|<15||Male||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.qRPbwt7xN8N","gend_gbv_u10_m_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","<10","<15","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD||||||||||||||","NTzodLPuWgg.HllvX50cXC0","D_gend_gbv_fy19_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","","","","","","",FALSE
"GEND_GBV|N|DSD||||||||||||||PEP","ww0W2eA0QCr.HllvX50cXC0","gend_gbv_pep_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","","","","","","PEP",FALSE
"GEND_GBV|N|DSD||||||||||||||Physical and/or Emotional Violence","K3G9ZMy2f4n.rslp7ddiBzy","gend_gbv_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","","","","","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD||||||||||||||Sexual Violence (Post-Rape Care)","K3G9ZMy2f4n.Cieg8r0FOGJ","gend_gbv_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","","","","","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||10-14|<15||Female||Physical and/or Emotional Violence","ajV9fIG2L0S.GGtPtwWGpuU","gend_gbv_1014_f_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","10-14","<15","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||10-14|<15||Female||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.O8VSbT4lhbG","gend_gbv_1014_f_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","10-14","<15","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||10-14|<15||Male||Physical and/or Emotional Violence","ajV9fIG2L0S.YsGSdOrSGvO","gend_gbv_1014_m_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","10-14","<15","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||10-14|<15||Male||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.dWU2Qc1DBTx","gend_gbv_1014_m_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","10-14","<15","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||15-19|15+||Female||Physical and/or Emotional Violence","ajV9fIG2L0S.Cec3GHF5VQZ","gend_gbv_1519_f_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","15-19","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||15-19|15+||Female||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.lQfjasPsxs3","gend_gbv_1519_f_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","15-19","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||15-19|15+||Male||Physical and/or Emotional Violence","ajV9fIG2L0S.qS6AUbNJKE8","gend_gbv_1519_m_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","15-19","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||15-19|15+||Male||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.zh1RfnjU3nw","gend_gbv_1519_m_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","15-19","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
